agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,8069000,60,134260,1994,8,82.2
USGS,8069000,60,134260,1994,9,63.5
USGS,8069000,60,134260,1994,10,1768
USGS,8069000,60,134260,1994,11,45.8
USGS,8069000,60,134260,1994,12,219.7
USGS,8069000,60,134260,1995,1,414.6
USGS,8069000,60,134260,1995,2,135.2
USGS,8069000,60,134260,1995,3,508.3
USGS,8069000,60,134260,1995,4,336.7
USGS,8069000,60,134260,1995,5,129.4
USGS,8069000,60,134260,1995,6,150.2
USGS,8069000,60,134260,1995,7,59.5
USGS,8069000,60,134260,1995,8,91.5
USGS,8069000,60,134260,1995,9,131.3
USGS,8069000,60,134260,1995,10,67.4
USGS,8069000,60,134260,1995,11,53
USGS,8069000,60,134260,1995,12,165.9
USGS,8069000,60,134260,1996,1,40.3
USGS,8069000,60,134260,1996,2,28.5
USGS,8069000,60,134260,1996,3,31.9
USGS,8069000,60,134260,1996,4,50.9
USGS,8069000,60,134260,1996,5,33.1
USGS,8069000,60,134260,1996,6,104.6
USGS,8069000,60,134260,1996,7,43.2
USGS,8069000,60,134260,1996,8,144.5
USGS,8069000,60,134260,1996,9,261.2
USGS,8069000,60,134260,1996,10,40.5
USGS,8069000,60,134260,1996,11,79.4
USGS,8069000,60,134260,1996,12,122.7
USGS,8069000,60,134260,1997,1,261.3
USGS,8069000,60,134260,1997,2,481.9
USGS,8069000,60,134260,1997,3,787.1
USGS,8069000,60,134260,1997,4,641.1
